,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
0,Ab Rollout (Kneeling),Ab Wheel Rollouts,Core Rollouts,Abs,,,Abs Rollout,"Use an ab wheel from your knees to roll forward and back, keeping your core tight and controlling the movement.","1. Kneel on the floor with an ab wheel, 2. Roll the wheel forward, extending your body, 3. Engage core to return, 4. Repeat."
1,Ab Rollout (Standing),Standing Abs Rollouts,,Abs,,,Abs Rollout,"From a standing position, use an ab wheel to roll forward and back, engaging your core and maintaining control throughout the movement.","1. Stand holding an ab wheel with feet shoulder-width apart, 2. Roll the wheel forward, bending at the hips and extending your body, 3. Engage core to return, 4. Repeat."
2,Band Lat Pulldown (Single Arm),Resistance Band Lat Pulldown,Single-Arm Band Pulldown,Upper Back,Lats,,Band,"Uses resistance bands to strengthen the lats, with core and shoulder stabilizers supporting.","1. Anchor a resistance band overhead, 2. Kneel or sit and grab the band with one hand, 3. Pull it down toward your side, 4. Control the return, 5. Switch sides."
3,Band Muscle Up,Resistance Band Muscle-Up,Assisted Muscle-Up (Bands),Upper Back,,,Band,"Aided version of the explosive pull-up-to-dip transition that strengthens the lats, chest, and triceps.","1. Attach resistance bands to a pull-up bar and grip the bar with an overhand grip, 2. Pull yourself up explosively engaging your upper body and core, 3. Transition your chest over the bar by rotating your wrists, 4. Push down on the bar to complete the dip portion, 5. Lower back down slowly."
4,Barbell Bicep Curl,Barbell Bicep Curls,Barbell Curls for Biceps,Biceps,,,Barbell,"Use a barbell to perform bicep curls, focusing on isolating the biceps while maintaining good form.","1. Stand with feet shoulder-width apart, 2. Hold the barbell with palms facing forward, 3. Curl the barbell toward your chest, 4. Slowly lower the barbell back to starting position."
5,Barbell Preacher Curl,Barbell Preacher Curls,,Biceps,,,Barbell,Barbell curls performed on a preacher bench to isolate and target the biceps.,"1. Sit on the preacher curl bench, positioning your upper arms on the pad, 2. Grab a barbell with an underhand grip, 3. Curl the barbell toward your shoulders, 4. Lower it back down slowly, 5. Repeat."
6,Barbell Calf Rasie,Barbell Standing Calf Raises,Standing BB Heel Raises,Calves,,,Barbell,"Use a barbell to perform calf raises, adding weight to build calf strength and size.","1. Stand with a barbell across your upper back, 2. Raise your heels off the ground, standing on the balls of your feet, 3. Lower your heels back down slowly, 4. Repeat."
7,Barbell Calf Rasie (Single Leg),Single Leg Barbell Calf Raise,Unilateral BB Calf Raise,Calves,,,Barbell,"Single-leg calf raises with a barbell, focusing on each calf muscle independently.","1. Stand with a barbell across your upper back, 2. Raise one heel off the ground, standing on the ball of that foot, 3. Lower your heel back down slowly, 4. Repeat with the other leg."
8,Barbell Bench Press,Barbell Flat Bench Press,Bench Press,Chest,Triceps,Shoulders,Barbell,"A compound exercise for the chest, shoulders, and triceps using a barbell on a flat bench.","1. Lie flat on a bench with your feet on the ground, 2. Grab the barbell with your hands slightly wider than shoulder-width, 3. Lower the barbell to your chest, 4. Push the barbell back up to the starting position, 5. Repeat."
9,Barbell Bench Press (Incline),Incline Barbell Bench Press,Incline BB Press,Chest,Shoulders,Triceps,Barbell,An incline variation of the bench press to target the upper chest and shoulders.,"1. Set the bench to an incline position, 2. Lie back on the bench with your feet on the ground, 3. Grab the barbell with your hands slightly wider than shoulder-width, 4. Lower the barbell to your upper chest, 5. Push the barbell back up to the starting position, 6. Repeat."
10,Barbell Bench Press (Decline),Decline Barbell Bench Press,Decline BB Press,Chest,Triceps,Shoulders,Barbell,A decline bench press that focuses on the lower portion of the chest and triceps.,"1. Set the bench to a decline position, 2. Lie back on the bench with your feet secured, 3. Grab the barbell with your hands slightly wider than shoulder-width, 4. Lower the barbell to your lower chest, 5. Push the barbell back up to the starting position, 6. Repeat."
11,Barbell Floor Press,Barbell Floor Press,Floor Bench Press,Chest,Triceps,Shoulders,Barbell,"Barbell press on the floor, isolating the chest and triceps while limiting shoulder involvement.","1. Lie on the floor with a barbell at chest height, 2. Grab the barbell with your hands slightly wider than shoulder-width, 3. Lower the barbell to your chest, 4. Push the barbell back up to the starting position, 5. Repeat."
12,Barbell Wrist Curl,Barbell Forearm Curls,,Forearms,,,Barbell,"Barbell wrist curl for forearm development, focusing on flexion and wrist strength.","1. Sit on a bench with your forearms resting on your thighs and palms facing up, 2. Grip the barbell with both hands, 3. Curl your wrists upwards, 4. Slowly lower the barbell back down, 5. Repeat."
13,Barbell Reverse Wrist Curl,Barbell Palms-Down Wrist Curls,Reverse Grip BB Forearm Curls,Forearms,,,Barbell,Reverse wrist curls using a barbell to enhance forearm extensor strength and wrist stability.,"1. Sit on a bench with your forearms resting on your thighs and palms facing down, 2. Grip the barbell with both hands, 3. Curl your wrists upwards, 4. Slowly lower the barbell back down, 5. Repeat."
14,Barbell Hip Thrust,Barbell Hip Thrust,Barbell Glute Bridge,Glutes,Hamstrings,,Barbell,Barbell hip thrust to target the glutes and hamstrings by driving the hips upward from a seated position.,"1. Sit on the ground with your upper back against a bench, 2. Roll the barbell over your hips, 3. Drive through your heels to lift your hips toward the ceiling, 4. Lower your hips back down, 5. Repeat."
15,Barbell Hip Thrust (Single Leg),Barbell Hip Thrust Single Leg,Single Leg BB Glute Bridge,Glutes,Hamstrings,,Barbell,A single-leg variation of the barbell hip thrust to emphasize unilateral glute and hamstring activation.,"1. Sit on the ground with your upper back against a bench, 2. Roll the barbell over your hips, 3. Lift one leg off the ground and drive through the other heel to lift your hips, 4. Lower your hips back down, 5. Repeat on the other leg."
16,Barbell RDL,Barbell Romanian Deadlifts,BB RDL,Hamstrings,Glutes,Lower Back,Barbell,"Romanian deadlifts using a barbell to target the hamstrings, glutes, and lower back with a hip-hinge movement.","1. Stand with your feet hip-width apart and a barbell in front of you, 2. Hinge at your hips and lower the barbell down while keeping your back straight, 3. Drive your hips forward to return to the starting position, 4. Repeat."
17,Barbell Good Morning,Barbell Good Mornings,BB Hip Hinge,Hamstrings,Glutes,Lower Back,Barbell,"A hip hinge movement with a barbell on the back to strengthen the lower back, glutes, and hamstrings.","1. Place a barbell on your shoulders, 2. Keep your knees slightly bent and hinge at your hips, 3. Lower your torso toward the ground while keeping your back straight, 4. Return to the starting position, 5. Repeat."
18,Barbell Deadlift,Barbell Deadlift,Conventional Barbell Deadlift,Legs,Lower Back,,Barbell,"Deadlift using a barbell to target the glutes, hamstrings, lower back, and traps with a powerful lift.","1. Stand with your feet hip-width apart and the barbell over your midfoot, 2. Grip the barbell with both hands, 3. Lift the barbell by driving through your heels, 4. Lower the barbell back to the ground, 5. Repeat."
19,Barbell Squat,Barbell Back Squat,BB Back Squats,Legs,Quadriceps,Glutes,Barbell,"Barbell squats to target the quads, hamstrings, and glutes with a deep knee bend.","1. Place a barbell on your upper back, 2. Stand with your feet shoulder-width apart, 3. Lower your body by bending your knees, 4. Drive through your heels to stand back up, 5. Repeat."
20,Barbell Lunge,Barbell Lunges,Weighted Lunges with BB,Legs,Quadriceps,Glutes,Barbell,"Lunges with a barbell across the back to strengthen the legs, glutes, and core while improving balance.","1. Place a barbell on your upper back, 2. Step forward with one leg and lower your body until both knees are bent at 90 degrees, 3. Push back to the starting position, 4. Repeat with the other leg."
21,Barbell Bulgarian Split Squat,Barbell Bulgarian Split Squats,,Legs,Quadriceps,Glutes,Barbell,"Bulgarian split squats with a barbell to target the quads, glutes, and improve balance.","1. Place a barbell on your upper back, 2. Position one leg behind you on a bench, 3. Lower your body by bending your front knee, 4. Push through your front heel to return to the starting position, 5. Repeat on the other leg."
22,Barbell Squat (Sumo),Barbell Wide-Stance Squats,Sumo Squats with BB,Legs,Adductors,Glutes,Barbell,"Wide stance barbell squats focusing on the inner thighs, glutes, and quads.","1. Stand with your feet wider than shoulder-width apart and toes pointed outward, 2. Grip the barbell with both hands between your legs, 3. Lower your body into a squat by bending your knees, 4. Push through your heels to return to standing, 5. Repeat."
23,Barbell Step Up,Barbell Step Ups,Step Ups with Barbell,Legs,Quadriceps,Glutes,Barbell,"Step-ups with a barbell across the back to target the quads, hamstrings, and glutes.","1. Place a barbell on your upper back, 2. Step up onto a bench or platform with one leg, 3. Drive through your heel to bring the other leg up, 4. Step down with the same leg, 5. Repeat with the other leg."
24,Barbell Split Squat,Barbell Split Squats,Weighted Split Squats (BB),Legs,Quadriceps,Glutes,Barbell,"Split squats with a barbell placed across the back to target quads, glutes, and hamstrings while improving balance and strength in each leg.","1. Place a barbell on your upper back, 2. Position one leg behind you, 3. Lower your body by bending your front knee, 4. Push through your front heel to return to the starting position"
25,Barbell Front Squat,Barbell Front Squats,Front Loaded Squats,Legs,Quadriceps,Glutes,Barbell,Front-loaded barbell squats to emphasize the quads and core by holding the barbell in front of the body.,"1. Place a barbell across your front deltoids, 2. Stand with your feet shoulder-width apart, 3. Lower your body by bending your knees, 4. Drive through your heels to return to standing, 5. Repeat."
26,Barbell Shoulder Press,Barbell Overhead Press,Military Press,Shoulders,Triceps,,Barbell,Overhead pressing with a barbell building shoulders and triceps.,"1. Stand with your feet shoulder-width apart, 2. Hold the barbell at shoulder height with your palms facing forward, 3. Press the barbell overhead until your arms are fully extended, 4. Lower the barbell back down to shoulder height, 5. Repeat."
27,Barbell Shoulder Press (Seated),Seated Barbell Press,Seated Military Press (BB),Shoulders,Triceps,,Barbell,Seated version of the barbell shoulder press for strict control.,"1. Sit on a bench with back support, 2. Hold the barbell at shoulder height with your palms facing forward, 3. Press the barbell overhead until your arms are fully extended, 4. Lower the barbell back down to shoulder height, 5. Repeat."
